Kernel_id,categary,name,Occupancy %
0,cpu_op,aten::arange,0
1,cpu_op,aten::empty,0
2,cpu_op,aten::arange,0
3,cpu_op,aten::resize_,0
4,cpu_op,aten::empty,0
5,cpu_op,aten::eq,0
6,cpu_op,aten::any,0
7,cpu_op,aten::as_strided,0
8,cpu_op,aten::is_nonzero,0
9,cpu_op,aten::item,0
10,cpu_op,aten::_local_scalar_dense,0
11,cpu_op,aten::arange,0
12,cpu_op,aten::empty,0
13,cpu_op,aten::arange,0
14,cpu_op,aten::resize_,0
15,cpu_op,aten::min,0
16,cpu_op,aten::as_strided,0
17,cpu_op,aten::as_strided,0
18,cpu_op,aten::item,0
19,cpu_op,aten::_local_scalar_dense,0
20,cpu_op,aten::empty,0
21,cpu_op,aten::to,0
22,cpu_op,aten::_to_copy,0
23,cpu_op,aten::empty_strided,0
24,cpu_op,aten::copy_,0
25,cpu_op,aten::sum,0
26,cpu_op,aten::as_strided,0
27,cpu_op,aten::to,0
28,cpu_op,aten::_to_copy,0
29,cpu_op,aten::empty_strided,0
30,cpu_op,aten::copy_,0
31,cpu_op,aten::item,0
32,cpu_op,aten::_local_scalar_dense,0
33,cpu_op,aten::empty,0
34,cpu_op,aten::to,0
35,cpu_op,aten::_to_copy,0
36,cpu_op,aten::empty_strided,0
37,cpu_op,aten::copy_,0
38,cpu_op,aten::clamp,0
39,cpu_op,aten::pow,0
40,cpu_op,aten::result_type,0
41,cpu_op,aten::to,0
42,cpu_op,aten::reshape,0
43,cpu_op,aten::_reshape_alias,0
44,cpu_op,aten::mul,0
45,cpu_op,aten::matmul,0
46,cpu_op,aten::mm,0
47,cpu_op,GSpMM,0
48,cpu_op,aten::zeros,0
49,cpu_op,aten::empty,0
50,cpu_op,aten::zero_,0
51,cpu_op,aten::fill_,0
52,cpu_op,aten::arange,0
53,cpu_op,aten::empty,0
54,cpu_op,aten::arange,0
55,cpu_op,aten::resize_,0
56,cpu_op,aten::empty,0
57,cpu_op,aten::to,0
58,cpu_op,aten::_to_copy,0
59,cpu_op,aten::empty_strided,0
60,cpu_op,aten::copy_,0
61,cpu_op,aten::clamp,0
62,cpu_op,aten::pow,0
63,cpu_op,aten::result_type,0
64,cpu_op,aten::to,0
65,cpu_op,aten::reshape,0
66,cpu_op,aten::_reshape_alias,0
67,cpu_op,aten::mul,0
68,cpu_op,aten::add,0
69,cpu_op,aten::relu,0
70,cpu_op,aten::clamp_min,0
71,cpu_op,aten::empty,0
72,cpu_op,aten::clamp_min,0
73,cpu_op,aten::resize_,0
74,cpu_op,aten::dropout,0
75,cpu_op,aten::arange,0
76,cpu_op,aten::empty,0
77,cpu_op,aten::arange,0
78,cpu_op,aten::resize_,0
79,cpu_op,aten::empty,0
80,cpu_op,aten::eq,0
81,cpu_op,aten::any,0
82,cpu_op,aten::as_strided,0
83,cpu_op,aten::is_nonzero,0
84,cpu_op,aten::item,0
85,cpu_op,aten::_local_scalar_dense,0
86,cpu_op,aten::arange,0
87,cpu_op,aten::empty,0
88,cpu_op,aten::arange,0
89,cpu_op,aten::resize_,0
90,cpu_op,aten::min,0
91,cpu_op,aten::as_strided,0
92,cpu_op,aten::as_strided,0
93,cpu_op,aten::item,0
94,cpu_op,aten::_local_scalar_dense,0
95,cpu_op,aten::empty,0
96,cpu_op,aten::to,0
97,cpu_op,aten::_to_copy,0
98,cpu_op,aten::empty_strided,0
99,cpu_op,aten::copy_,0
100,cpu_op,aten::sum,0
101,cpu_op,aten::as_strided,0
102,cpu_op,aten::to,0
103,cpu_op,aten::_to_copy,0
104,cpu_op,aten::empty_strided,0
105,cpu_op,aten::copy_,0
106,cpu_op,aten::item,0
107,cpu_op,aten::_local_scalar_dense,0
108,cpu_op,aten::empty,0
109,cpu_op,aten::to,0
110,cpu_op,aten::_to_copy,0
111,cpu_op,aten::empty_strided,0
112,cpu_op,aten::copy_,0
113,cpu_op,aten::clamp,0
114,cpu_op,aten::pow,0
115,cpu_op,aten::result_type,0
116,cpu_op,aten::to,0
117,cpu_op,aten::reshape,0
118,cpu_op,aten::_reshape_alias,0
119,cpu_op,aten::mul,0
120,cpu_op,aten::matmul,0
121,cpu_op,aten::mm,0
122,cpu_op,GSpMM,0
123,cpu_op,aten::zeros,0
124,cpu_op,aten::empty,0
125,cpu_op,aten::zero_,0
126,cpu_op,aten::fill_,0
127,cpu_op,aten::arange,0
128,cpu_op,aten::empty,0
129,cpu_op,aten::arange,0
130,cpu_op,aten::resize_,0
131,cpu_op,aten::empty,0
132,cpu_op,aten::to,0
133,cpu_op,aten::_to_copy,0
134,cpu_op,aten::empty_strided,0
135,cpu_op,aten::copy_,0
136,cpu_op,aten::clamp,0
137,cpu_op,aten::pow,0
138,cpu_op,aten::result_type,0
139,cpu_op,aten::to,0
140,cpu_op,aten::reshape,0
141,cpu_op,aten::_reshape_alias,0
142,cpu_op,aten::mul,0
143,cpu_op,aten::add,0
144,Kernel,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#10}::operator()() const::{lambda(long)#1}, function_traits<{lambda(long)#1}>::result_type*)",2
145,async_gpu,cudaLaunchKernel,0
146,Runtime,cudaLaunchKernel,0
147,async_gpu,cudaLaunchKernel,0
148,Kernel,"void dgl::aten::impl::_CSRGetRowNNZKernel<int>(int const*, int const*, int*, long)",2
149,async_gpu,cudaLaunchKernel,0
150,Runtime,cudaLaunchKernel,0
151,async_gpu,cudaLaunchKernel,0
